Id,Name,AUTO,ES27,ES64,WEEK_AHEAD,BEST_WIS,MEAN_WIS
47,Virginia,187.506,195.3,200.853,1,AUTO,127.602
47,Virginia,321.671,349.012,345.507,2,AUTO,223.561
47,Virginia,473.361,525.485,514.293,3,AUTO,332.9486667
47,Virginia,608.713,689.718,681.513,4,AUTO,432.8103333
48,Washington,16.841,16.618,17.051,1,ES27,11.153
48,Washington,32.869,31.835,32.509,2,ES27,21.568
48,Washington,45.758,44.874,45.831,3,ES27,30.21066667
48,Washington,56.956,56.973,57.938,4,ES27,37.97633333
49,West Virginia,18.785,19.112,19.424,1,AUTO,12.63233333
49,West Virginia,38.796,38.976,38.568,2,ES64,25.924
49,West Virginia,54.172,55.341,52.796,3,ES64,36.50433333
49,West Virginia,67.809,70.024,65.396,4,ES64,45.94433333
50,Wisconsin,17.1,17.053,16.946,1,ES64,11.38433333
50,Wisconsin,30.267,30.196,29.863,2,ES64,20.15433333
50,Wisconsin,41.01,41.24,40.64,3,ES64,27.41666667
50,Wisconsin,51.098,51.501,50.648,4,ES64,34.19966667
51,Wyoming,6.781,6.906,7.02,1,AUTO,4.562333333
51,Wyoming,13.135,13.084,13.252,2,ES27,8.739666667
51,Wyoming,17.885,17.435,17.465,3,ES27,11.77333333
51,Wyoming,22.277,21.535,21.572,4,ES27,14.604
